Time,Voltage 1,Voltage 2,Ampers 2,Distance,Acceleration,
Seg
,Volt,mV,mA,mts,mt/s,
29,131,287,442,663,734,
30,132,288,443,664,735,
31,133,289,444,665,736,
32,134,290,445,666,737,
33,135,291,446,667,738,
34,136,292,447,668,739,
35,137,293,448,669,740,
36,138,294,449,670,741,
37,139,295,450,671,742,
38,140,296,451,672,743,
39,141,297,452,673,744,
40,142,298,453,674,745,
41,143,299,454,675,746,
42,144,300,455,676,747,
43,145,301,456,677,748,
44,146,302,457,678,749,
45,147,303,458,679,750,
46,148,304,459,680,751,
47,149,305,460,681,752,
48,150,306,461,682,753,
49,151,307,462,683,754,
50,152,308,463,684,755,
51,153,309,464,685,756,
